transaction_id,client_id,portfolio_id,transaction_date,transaction_type,amount_usd,original_currency,fx_rate_applied,asset_class,fee_amount_usd,fee_type,rm_id,notes
1,1,1,2025-12-27,Dividend,7540.53,SGD,1.360511,Private Credit,,,Sofia Lim,
2,1,1,2025-11-10,Dividend,8620.11,SGD,1.377329,Fixed Income,,,Sofia Lim,
3,1,1,2025-10-09,Fee,-1284.65,SGD,1.3589,Private Credit,1284.65,Performance Fee,Sofia Lim,
4,1,1,2025-09-17,Outflow,-82937.86,SGD,1.321045,Cash,,,Sofia Lim,
5,1,1,2025-09-22,Fee,-1067.84,SGD,1.356859,Alternatives,1067.84,Transaction Fee,Sofia Lim,
6,1,1,2025-09-21,Inflow,145507.85,SGD,1.362002,Alternatives,,,Sofia Lim,
7,1,1,2025-11-21,Dividend,4629.96,SGD,1.363309,Private Credit,,,Sofia Lim,
8,1,1,2025-11-11,Outflow,-87510.34,SGD,1.317485,Private Credit,,,Sofia Lim,
9,1,1,2025-09-25,Fee,-1552.1,SGD,1.307192,Structured Products,1552.1,Transaction Fee,Sofia Lim,
10,1,1,2025-09-30,Rebalance,-33623.3,SGD,1.328808,Private Credit,,,Sofia Lim,
11,1,1,2025-09-29,FX-Conversion,6099.78,SGD,1.379929,Structured Products,,,Sofia Lim,
12,1,1,2025-12-16,Interest,2174.07,SGD,1.353583,Private Credit,,,Sofia Lim,
13,1,1,2025-10-29,Inflow,148199.37,SGD,1.349739,Private Credit,,,Sofia Lim,
14,1,1,2025-09-07,Dividend,5303.83,SGD,1.363815,Alternatives,,,Sofia Lim,
15,1,1,2025-09-16,Outflow,-135435.91,SGD,1.301786,Structured Products,,,Sofia Lim,
16,1,1,2025-11-07,Interest,6420.55,SGD,1.340702,Alternatives,,,Sofia Lim,
17,1,1,2025-11-03,Inflow,80804.24,SGD,1.341117,Private Credit,,,Sofia Lim,
18,1,1,2025-09-14,Inflow,135319.18,SGD,1.350205,Structured Products,,,Sofia Lim,
19,1,1,2025-09-28,Dividend,9366.11,SGD,1.333906,Fixed Income,,,Sofia Lim,
20,1,1,2025-09-15,Inflow,190592.26,SGD,1.359407,Private Credit,,,Sofia Lim,
21,1,1,2025-10-27,Dividend,8374.35,SGD,1.312162,Equities,,,Sofia Lim,
22,1,1,2025-10-30,Dividend,2835.33,SGD,1.304163,Equities,,,Sofia Lim,
23,1,1,2025-12-12,Outflow,-117850.94,SGD,1.318103,Equities,,,Sofia Lim,
24,1,1,2025-10-05,Fee,-3035.35,SGD,1.325239,Cash,3035.35,Transaction Fee,Sofia Lim,
25,1,1,2025-10-21,Dividend,2149.67,SGD,1.357711,Structured Products,,,Sofia Lim,
26,1,1,2025-09-10,Interest,2482.48,SGD,1.367999,Structured Products,,,Sofia Lim,
27,2,2,2025-01-22,Inflow,340404.1,SGD,1.306755,Private Credit,,,Chen Jing,
28,2,2,2025-10-18,Rebalance,-20977.35,SGD,1.352922,Cash,,,Chen Jing,
29,2,2,2024-12-24,Inflow,181427.38,SGD,1.331236,Fixed Income,,,Chen Jing,
30,2,2,2025-11-20,Interest,49067.31,SGD,1.311384,Alternatives,,,Chen Jing,
31,2,2,2025-07-20,Rebalance,29588.12,SGD,1.376774,Private Credit,,,Chen Jing,
32,2,2,2023-09-07,Fee,-7217.98,SGD,1.300204,Structured Products,7217.98,Management Fee,Chen Jing,
33,2,2,2025-04-28,Outflow,-770594.39,SGD,1.324297,Structured Products,,,Chen Jing,
34,2,2,2025-10-01,Dividend,24078.9,SGD,1.332977,Private Credit,,,Chen Jing,
35,2,2,2025-06-18,Rebalance,-67809.13,SGD,1.317551,Fixed Income,,,Chen Jing,
36,2,2,2025-12-28,Outflow,-188002.52,SGD,1.364093,Equities,,,Chen Jing,
37,2,2,2023-10-21,Rebalance,-7746.96,SGD,1.343993,Structured Products,,,Chen Jing,
38,2,2,2024-06-19,Dividend,14118.56,SGD,1.358137,Alternatives,,,Chen Jing,
39,2,2,2025-01-06,FX-Conversion,-74356.97,SGD,1.3525,Alternatives,,,Chen Jing,
40,2,2,2023-12-07,Outflow,-734936.14,SGD,1.32535,Equities,,,Chen Jing,
41,2,2,2024-11-30,Outflow,-282600.67,SGD,1.346767,Private Credit,,,Chen Jing,
42,2,2,2025-03-28,Fee,-19644.9,SGD,1.300188,Alternatives,19644.9,Performance Fee,Chen Jing,
43,2,2,2024-05-05,Interest,40134.07,SGD,1.334864,Private Credit,,,Chen Jing,
44,2,2,2024-08-29,Inflow,369518.88,SGD,1.338388,Private Credit,,,Chen Jing,
45,2,2,2024-11-25,Outflow,-420555.95,SGD,1.30855,Alternatives,,,Chen Jing,
46,2,2,2025-06-18,Dividend,44955.01,SGD,1.311056,Alternatives,,,Chen Jing,
47,2,2,2025-02-28,Inflow,904139.55,SGD,1.305948,Private Credit,,,Chen Jing,
48,2,2,2023-11-12,Rebalance,26325.3,SGD,1.365136,Structured Products,,,Chen Jing,
49,2,2,2025-04-10,Fee,-8303.43,SGD,1.344148,Structured Products,8303.43,Management Fee,Chen Jing,
50,2,2,2025-03-05,Rebalance,-5579.21,SGD,1.362126,Structured Products,,,Chen Jing,
51,2,2,2024-09-04,Outflow,-607941.54,SGD,1.323196,Structured Products,,,Chen Jing,
52,2,2,2024-12-14,Fee,-11101.54,SGD,1.353079,Equities,11101.54,Management Fee,Chen Jing,
53,2,2,2025-11-29,FX-Conversion,-66831.29,SGD,1.341137,Private Credit,,,Chen Jing,
54,2,2,2024-11-25,Inflow,964249.74,SGD,1.352817,Structured Products,,,Chen Jing,
55,2,2,2024-01-23,Dividend,48217.48,SGD,1.30305,Cash,,,Chen Jing,
56,2,2,2025-10-14,Fee,-9087.96,SGD,1.303242,Equities,9087.96,Performance Fee,Chen Jing,
57,2,2,2024-03-25,Fee,-10969.38,SGD,1.370677,Alternatives,10969.38,Transaction Fee,Chen Jing,
58,2,2,2023-10-06,FX-Conversion,-79355.0,SGD,1.377663,Alternatives,,,Chen Jing,
59,2,2,2025-06-05,Interest,20813.42,SGD,1.343566,Private Credit,,,Chen Jing,
60,2,2,2024-02-21,Outflow,-327968.89,SGD,1.352328,Cash,,,Chen Jing,
61,2,3,2024-09-08,Outflow,-342514.24,SGD,1.328173,Fixed Income,,,Chen Jing,
62,2,3,2023-09-22,Fee,-14107.82,SGD,1.340148,Cash,14107.82,Management Fee,Chen Jing,
